Number,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Height,Weight,Team,Team_Status
18,Martín Zubimendi,MF,1.eng Arsenal,"Donostia / San SebastiÃ¡n, Spain",2/2/1999,27-129,1,22,0,180,73,Spain,advanced
9,JuliÃ¡n Ãlvarez,FW,1.es AtlÃ©tico Madrid,"CalchÃ­n, Argentina",1/31/2000,26,8,602,1,173,71,Argentina,advanced
24,Enzo FernÃ¡ndez,MF,1.eng Chelsea,"General San MartÃ­n, Argentina",1/17/2001,25,7,659,2,178,76,Argentina,advanced
11,Giovani Lo Celso,MF,1.es Real Betis,"Rosario, Argentina",4/9/1996,30,1,59,1,175,68,Argentina,advanced
20,Alexis Mac Allister,MF,1.eng Liverpool,"Santa Rosa, Argentina",12/24/1998,27,8,750,1,174,73,Argentina,advanced
22,Lautaro MartÃ­nez,FW,1.it Inter,"BahÃ­a Blanca, Argentina",8/22/1997,28,7,310,3,174,72,Argentina,advanced
6,Lisandro MartÃ­nez,DF,1.eng Manchester Utd,"Gualeguay, Argentina",1/18/1998,28,7,624,1,178,78,Argentina,advanced
10,Lionel Messi,FW,1.us Inter Miami,"Rosario, Argentina",6/24/1987,38,8,740,8,170,67,Argentina,advanced
13,Cristian Romero,DF,1.eng Tottenham,"CÃ³rdoba, Argentina",4/27/1998,28,7,608,1,185,78,Argentina,advanced
16,Thiago Almada,MF,1.es AtlÃ©tico Madrid,"Ciudadela, Argentina",4/26/2001,25-046,5,241,0,170,62,Argentina,advanced
8,ValentÃ­n Barco,"DF,MF",1.fr Strasbourg,"Veinticinco de Mayo, Argentina",7/23/2004,21-323,1,20,0,186,66,Argentina,advanced
7,Rodrigo De Paul,MF,1.us Inter Miami,"SarandÃ­, Argentina",5/24/1994,32-018,7,491,0,178,69,Argentina,advanced
15,NicolÃ¡s GonzÃ¡lez,MF,1.es AtlÃ©tico Madrid,"BelÃ©n de Escobar, Argentina",4/6/1998,28-066,7,259,0,180,72,Argentina,advanced
21,Flaco LÃ³pez,FW,1.br Palmeiras,"Departamento de Saladas, Argentina",12/6/2000,25-187,2,20,0,188,77,Argentina,advanced
23,Emiliano MartÃ­nez,GK,1.eng Aston Villa,"Mar del Plata, Argentina",9/2/1992,33-282,8,810,0,193,97,Argentina,advanced
25,Facundo Medina,DF,1.fr Marseille,"Fiorito, Argentina",5/28/1999,27-014,5,308,0,184,78,Argentina,advanced
26,Nahuel Molina,DF,1.es AtlÃ©tico Madrid,"Embalse, Argentina",4/6/1998,28-066,7,528,0,175,69,Argentina,advanced
4,Gonzalo Montiel,DF,1.ar River Plate,"GonzÃ¡lez CatÃ¡n, Argentina",1/1/1997,29-161,6,192,0,180,68,Argentina,advanced
19,NicolÃ¡s Otamendi,DF,1.pt Benfica,"Buenos Aires, Argentina",2/12/1988,38-119,7,247,0,183,82,Argentina,advanced
14,Exequiel Palacios,DF,1.de Leverkusen,"FamaillÃ¡, Argentina",10/5/1998,27-249,1,90,0,177,68,Argentina,advanced
5,Leandro Paredes,MF,1.ar Boca Juniors,"San Justo, Argentina",6/29/1994,31-347,7,473,0,182,74,Argentina,advanced
18,NicolÃ¡s Paz,MF,1.it Como,"Santa Cruz de Tenerife, Spain",9/8/2004,21-276,2,71,0,185,81,Argentina,advanced
2,Marcos Senesi,DF,1.eng Bournemouth,"Concordia, Argentina",5/10/1997,29-032,2,109,0,184,78,Argentina,advanced
17,Giuliano Simeone,FW,1.es AtlÃ©tico Madrid,"Rome, Italy",12/18/2002,23-175,3,192,0,184,74,Argentina,advanced
3,NicolÃ¡s Tagliafico,DF,1.fr Lyon,"Buenos Aires, Argentina",8/31/1992,33-284,7,476,0,172,64,Argentina,advanced
10,Jude Bellingham,MF,1.es Real Madrid,"Stourbridge, England, United Kingdom",6/29/2003,22,8,614,7,186,74,England,advanced
18,Anthony Gordon,MF,1.es Barcelona,"Liverpool, England, United Kingdom",2/24/2001,25,6,396,1,173,72,England,advanced
9,Harry Kane,FW,1.de Bayern Munich,"Walthamstow, England, United Kingdom",7/28/1993,32,7,652,6,188,86,England,advanced
2,Ezri Konsa,DF,1.eng Aston Villa,"London, England, United Kingdom",10/23/1997,28,8,647,1,183,77,England,advanced
11,Marcus Rashford,MF,1.es Barcelona,"Wythenshawe, England, United Kingdom",10/31/1997,28,6,223,1,180,79,England,advanced
4,Declan Rice,MF,1.eng Arsenal,"London, England, United Kingdom",1/14/1999,27,7,557,1,185,83,England,advanced
7,Bukayo Saka,MF,1.eng Arsenal,"Ealing, England, United Kingdom",9/5/2001,24,7,358,3,178,72,England,advanced
8,Elliot Anderson,MF,1.eng Nottingham,"Whitley Bay, England, United Kingdom",11/6/2002,23-217,8,632,0,179,72,England,advanced
15,Dan Burn,DF,1.eng Newcastle,"Blyth, England, United Kingdom",5/9/1992,34-033,3,35,0,198,87,England,advanced
12,Trevoh Chalobah,"DF,MF",1.eng Chelsea,"Freetown, Sierra Leone",7/5/1999,26-341,1,1,0,190,74,England,advanced
21,Eberechi Eze,MF,1.eng Arsenal,"Greenwich, England, United Kingdom",6/29/1998,27-347,5,211,0,173,73,England,advanced
6,Marc GuÃ©hi,DF,1.eng Manchester City,"Abidjan, CÃ´te d'Ivoire",7/13/2000,25-333,8,663,0,182,79,England,advanced
13,Dean Henderson,GK,1.eng Crystal Palace,"Whitehaven, England, United Kingdom",3/12/1997,29-091,1,90,0,188,84,England,advanced
14,Jordan Henderson,MF,1.eng Brentford,"Sunderland, England, United Kingdom",6/17/1990,35-359,1,7,0,182,78,England,advanced
24,Reece James,DF,1.eng Chelsea,"London, England, United Kingdom",12/8/1999,26-185,5,319,0,172,82,England,advanced
20,Noni Madueke,MF,1.eng Arsenal,"Barnet, England, United Kingdom",3/10/2002,24-093,5,286,0,176,74,England,advanced
3,Nico O'Reilly,DF,1.eng Manchester City,"Manchester, England, United Kingdom",3/21/2005,21-082,7,461,0,193,77,England,advanced
1,Jordan Pickford,GK,1.eng Everton,"Washington, England, United Kingdom",3/7/1994,32-096,7,660,0,185,77,England,advanced
26,Jarell Quansah,DF,1.de Leverkusen,"Warrington, England, United Kingdom",1/29/2003,23-133,3,197,0,193,83,England,advanced
17,Morgan Rogers,MF,1.eng Aston Villa,"Halesowen, England, United Kingdom",7/26/2002,23-320,7,339,0,189,79,England,advanced
25,Djed Spence,DF,1.eng Tottenham,"London, England, United Kingdom",8/9/2000,25-306,8,404,0,183,71,England,advanced
5,John Stones,DF,1.eng Manchester City,"Barnsley, England, United Kingdom",5/28/1994,32-014,5,330,0,188,78,England,advanced
22,Ivan Toney,FW,1.sa Al-Ahli,"Northampton, England, United Kingdom",3/16/1996,30-087,2,79,0,179,87,England,advanced
19,Ollie Watkins,"FW,MF",1.eng Aston Villa,"Borough of Torbay, England, United Kingdom",12/30/1995,30-163,2,52,0,180,69,England,advanced
12,Bradley Barcola,MF,1.fr PSG,"Villeurbanne, France",9/2/2002,23,8,384,3,188,73,France,advanced
7,Ousmane Dembélé,MF,1.fr PSG,"Vernon, France",5/15/1997,29,8,592,6,178,67,France,advanced
20,Désiré Doué,MF,1.fr PSG,"Angers, France",6/3/2005,21,8,400,1,178,78,France,advanced
10,Kylian Mbappé,FW,1.es Real Madrid,"Paris 19 Buttes-Chaumont, France",12/20/1998,27,8,695,10,178,74,France,advanced
25,Maghnes Akliouche,MF,1.fr Monaco,"Tremblay-en-France, France",2/25/2002,24-106,1,8,0,175,69,France,advanced
24,Rayan Cherki,MF,1.eng Manchester City,"Pusignan, France",8/17/2003,22-298,7,130,0,176,71,France,advanced
3,Lucas Digne,DF,1.eng Aston Villa,"Meaux, France",7/20/1993,32-326,6,463,0,178,73,France,advanced
2,Malo Gusto,DF,1.eng Chelsea,"Lyon, France",5/19/2003,23-023,5,121,0,179,69,France,advanced
19,Theo HernÃ¡ndez,DF,1.sa Al-Hilal,"Marseille, France",10/6/1997,28-248,5,257,0,184,81,France,advanced
15,Ibrahima KonatÃ©,DF,1.eng Liverpool,"Paris, France",5/25/1999,27-017,2,60,0,193,94,France,advanced
6,Manu KonÃ©,MF,1.it Roma,"Colombes, France",5/17/2001,25-025,5,385,0,181,79,France,advanced
5,Jules KoundÃ©,DF,1.es Barcelona,"Paris, France",11/12/1998,27-211,8,599,0,178,83,France,advanced
26,Maxence Lacroix,DF,1.eng Crystal Palace,"Villeneuve-Saint-Georges, France",4/6/2000,26-066,3,241,0,190,87,France,advanced
16,Mike Maignan,GK,1.it Milan,"Cayenne, French Guiana",7/3/1995,30-343,8,720,0,187,88,France,advanced
22,Jean-Philippe Mateta,FW,1.eng Crystal Palace,"ChÃ¢teauroux, France",6/28/1997,28-348,3,24,0,192,87,France,advanced
11,Michael Olise,MF,1.de Bayern Munich,"England, United Kingdom",12/12/2001,24-181,8,646,0,178,78,France,advanced
14,Adrien Rabiot,MF,1.it Milan,"Saint-Maurice, France",4/3/1995,31-069,7,585,0,188,86,France,advanced
17,William Saliba,DF,1.eng Arsenal,"Bondy, France",3/24/2001,25-079,6,479,0,193,92,France,advanced
8,AurÃ©lien TchouamÃ©ni,MF,1.es Real Madrid,"Rouen, France",1/27/2000,26-135,4,360,0,185,81,France,advanced
9,Marcus Thuram,"FW,MF",1.it Inter,"Provincia di Parma, Italy",8/6/1997,28-309,1,1,0,189,89,France,advanced
4,Dayot Upamecano,DF,1.de Bayern Munich,"Ã‰vreux, France",10/27/1998,27-227,8,660,0,188,89,France,advanced
18,Warren ZaÃ¯re-Emery,MF,1.fr PSG,"Montreuil, France",3/8/2006,20-095,2,110,0,178,68,France,advanced
14,Issa Diop,DF,1.eng Fulham,"Toulouse, France",1/9/1997,29,5,476,1,194,92,Morocco,advanced
2,Achraf Hakimi,DF,1.fr PSG,"Getafe, Spain",11/4/1998,27,6,570,1,177,73,Morocco,advanced
8,Azzedine Ounahi,MF,1.es Girona,"Casablanca, Morocco",4/19/2000,26,6,435,2,182,63,Morocco,advanced
9,Soufiane Rahimi,FW,1.ae Al Ain,"Casablanca, Morocco",6/2/1996,30,6,163,2,180,78,Morocco,advanced
11,Ismael Saibari,FW,1.nl PSV,"Terrassa, Spain",1/28/2001,25,5,381,3,185,81,Morocco,advanced
16,Gessime Yassine,MF,1.fr Strasbourg,"Salon-de-Provence, France",11/22/2005,20,3,80,1,172,62,Morocco,advanced
21,Ayoube Amaimouni,MF,1.de Frankfurt,"Vic, Spain",11/30/2004,21-193,2,18,0,179,69,Morocco,advanced
4,Sofyan Amrabat,MF,1.es Real Betis,"Gemeente Huizen, Netherlands",8/21/1996,29-294,3,147,0,173,83,Morocco,advanced
24,Neil El Aynaoui,MF,1.it Roma,"Nancy, France",7/2/2001,24-344,6,562,0,182,77,Morocco,advanced
6,Ayyoub Bouaddi,MF,1.fr Lille,"Senlis, France",10/2/2007,18-252,5,381,0,186,72,Morocco,advanced
1,Yassine Bounou,GK,1.sa Al-Hilal,"MontrÃ©al, QC, Canada",4/5/1991,35-067,6,570,0,190,78,Morocco,advanced
10,Brahim DÃ­az,MF,1.es Real Madrid,"MÃ¡laga, Spain",8/3/1999,26-312,6,457,0,170,68,Morocco,advanced
25,Redouane Halhal,DF,1.be Mechelen,"Montpellier, France",3/5/2003,23-098,2,180,0,185,78,Morocco,advanced
20,Ayoub El Kaabi,FW,1.gr Olympiacos,"Casablanca, Morocco",6/26/1993,32-350,1,69,0,182,76,Morocco,advanced
23,Bilal El Khannouss,"MF,FW",1.de Stuttgart,"Strombeek-Bever, Belgium",5/10/2004,22-032,6,461,0,180,69,Morocco,advanced
3,Noussair Mazraoui,DF,1.eng Manchester Utd,"Leiderdorp, Netherlands",11/14/1997,28-209,6,477,0,183,64,Morocco,advanced
15,Samir El Mourabet,MF,1.fr Strasbourg,"France, France",10/6/2005,20-248,5,81,0,186,74,Morocco,advanced
13,Zakaria El Ouahdi,"DF,MF",1.be Genk,"Hoboken, Belgium",12/31/2001,24-162,1,17,0,171,68,Morocco,advanced
18,Chadi Riad,DF,1.eng Crystal Palace,"Palma, Spain",6/17/2003,22-359,4,344,0,186,78,Morocco,advanced
5,Marwane SaÃ¢dane,"DF,MF",1.sa Al-Fateh,"Mohammedia, Morocco",1/17/1992,34-145,1,4,0,185,73,Morocco,advanced
26,Anass Salah-Eddine,DF,1.nl PSV,"Amsterdam, Netherlands",1/18/2002,24-144,4,212,0,181,66,Morocco,advanced
17,Amine Sbai,"FW,MF",1.fr Angers,"Sidi Qacem, Morocco",11/5/2000,25-218,1,6,0,175,72,Morocco,advanced
7,Chemsdine Talbi,MF,1.eng Sunderland,"Auvelais, Belgium",5/9/2005,21-033,5,179,0,175,68,Morocco,advanced
7,Kevin De Bruyne,MF,1.it Napoli,"Gent, Belgium",6/28/1991,34,5,382,1,181,68,Belgium,advanced
17,Charles De Ketelaere,"FW,MF",1.it Atalanta,"Brugge, Belgium",3/10/2001,25,5,350,3,192,73,Belgium,advanced
9,Romelu Lukaku,FW,1.it Napoli,"Antwerpen, Belgium",5/13/1993,33,6,233,3,192,92,Belgium,advanced
22,Alexis Saelemaekers,MF,1.it Milan,"Sint-Agatha-Berchem, Belgium",6/27/1999,26,4,83,1,180,72,Belgium,advanced
8,Youri Tielemans,MF,1.eng Aston Villa,"Sint-Pieters-Leeuw, Belgium",5/7/1997,29,5,474,2,177,72,Belgium,advanced
10,Leandro Trossard,"MF,FW",1.eng Arsenal,"Maasmechelen, Belgium",12/4/1994,31,6,506,2,172,60,Belgium,advanced
20,Hans Vanaken,MF,1.be Club Brugge,"Neerpelt, Belgium",8/24/1992,33,6,319,1,194,77,Belgium,advanced
21,Timothy Castagne,DF,1.eng Fulham,"Arlon, Belgium",12/5/1995,30-188,6,478,0,180,78,Belgium,advanced
1,Thibaut Courtois,GK,1.es Real Madrid,"Bree, Belgium",5/11/1992,34-031,6,550,0,199,96,Belgium,advanced
5,Maxim De Cuyper,DF,1.eng Brighton,"Knokke-Heist, Belgium",12/22/2000,25-171,6,442,0,186,72,Belgium,advanced
11,Jeremy Doku,MF,1.eng Manchester City,"Antwerpen, Belgium",5/27/2002,24-015,5,309,0,171,66,Belgium,advanced
26,Matias Fernandez-Pardo,"FW,MF",1.fr Lille,"Brussels, Belgium",2/3/2005,21-128,3,44,0,188,69,Belgium,advanced
12,Senne Lammens,GK,1.eng Manchester Utd,"Zottegem, Belgium",7/7/2002,23-339,1,20,0,193,92,Belgium,advanced
14,Dodi Lukebakio,MF,1.pt Benfica,"Asse, Belgium",9/24/1997,28-260,3,164,0,184,77,Belgium,advanced
4,Brandon Mechele,DF,1.be Club Brugge,"Bredene, Belgium",1/28/1993,33-134,6,570,0,188,81,Belgium,advanced
15,Thomas Meunier,DF,1.fr Lille,"Sainte-Ode, Belgium",9/12/1991,34-272,3,190,0,190,87,Belgium,advanced
19,Diego Moreira,MF,1.fr Strasbourg,"LiÃ¨ge, Belgium",8/6/2004,21-309,1,58,0,179,73,Belgium,advanced
25,Nathan Ngoy,DF,1.fr Lille,"Brussels, Belgium",6/10/2003,23-001,4,335,0,183,73,Belgium,advanced
24,Amadou Onana,MF,1.eng Aston Villa,"Brussels, Belgium",8/16/2001,24-299,4,106,0,187,76,Belgium,advanced
23,Nicolas Raskin,MF,1.sct Rangers,"LiÃ¨ge, Belgium",2/23/2001,25-108,6,341,0,179,73,Belgium,advanced
18,Joaquin Seys,DF,1.be Club Brugge,"Oostende, Belgium",3/28/2005,21-075,1,30,0,178,63,Belgium,advanced
3,Arthur Theate,DF,1.de Frankfurt,"LiÃ¨ge, Belgium",5/25/2000,26-017,3,228,0,191,78,Belgium,advanced
6,Axel Witsel,"DF,MF",1.es Girona,"LiÃ¨ge, Belgium",1/12/1989,37-150,2,33,0,186,81,Belgium,advanced
19,Thelo Aasgaard,MF,1.sct Rangers,"Liverpool, England, United Kingdom",5/2/2002,24,1,90,1,170,78,Norway,advanced
9,Erling Haaland,FW,1.eng Manchester City,"Leeds, England, United Kingdom",7/21/2000,25,5,465,7,191,92,Norway,advanced
20,Antonio Nusa,FW,1.de RB Leipzig,"Oslo, Norway",4/17/2005,21,6,318,1,180,73,Norway,advanced
16,Marcus Pedersen,DF,1.it Torino,"Hammerfest, Norway",7/16/2000,25,4,236,1,178,76,Norway,advanced
21,Andreas Schjelderup,FW,1.pt Benfica,"BodÃ¸, Norway",6/1/2004,22,6,252,1,176,73,Norway,advanced
4,Leo Ã˜stigÃ¥rd,DF,1.it Genoa,"Molde, Norway",11/28/1999,26,5,146,1,174,81,Norway,advanced
3,Kristoffer Ajer,DF,1.eng Brentford,"Rælingen, Norway",4/17/1998,28-055,5,480,0,196,92,Norway,advanced
15,Fredrik André Bjørkan,DF,1.no Bodø/Glimt,"Bodø, Norway",8/21/1998,27-294,1,45,0,180,77,Norway,advanced
14,Fredrik Aursnes,"MF,DF",1.pt Benfica,"Hareid, Norway",12/10/1995,30-183,6,304,0,179,71,Norway,advanced
6,Patrick Berg,MF,1.no Bodø/Glimt,"Bodø, Norway",11/24/1997,28-199,6,445,0,180,69,Norway,advanced
8,Sander Berge,MF,1.eng Fulham,"Bærum, Norway",2/14/1998,28-117,5,480,0,190,96,Norway,advanced
22,Oscar Bobb,FW,1.eng Fulham,"Oslo, Norway",7/12/2003,22-334,6,225,0,174,69,Norway,advanced
25,Henrik Falchener,DF,1.no Viking,"Tønsberg, Norway",5/8/2003,23-034,1,65,0,183,79,Norway,advanced
17,Torbjørn Heggem,DF,1.it Bologna,"Trondheim, Norway",1/12/1999,27-150,5,443,0,192,79,Norway,advanced
24,Sondre Langås,DF,2.eng Derby County,"Namsos, Norway",2/2/2001,25-129,1,25,0,190,83,Norway,advanced
5,David Møller Wolfe,DF,1.eng Wolves,"Bergen, Norway",4/23/2002,24-049,5,430,0,185,78,Norway,advanced
1,Ørjan Nyland,GK,1.es Sevilla,"Volda, Norway",9/10/1990,35-274,5,480,0,192,89,Norway,advanced
23,Jens Petter Hauge,"DF,FW",1.no Bodø/Glimt,"Bodø, Norway",10/12/1999,26-242,1,8,0,183,76,Norway,advanced
26,Julian Ryerson,DF,1.de Dortmund,"Lyngdal, Norway",11/17/1997,28-206,4,223,0,184,86,Norway,advanced
13,Egil Selvik,GK,2.eng Watford,"Sandnes, Norway",7/30/1997,28-316,1,90,0,191,88,Norway,advanced
11,Jørgen Strand Larsen,FW,1.eng Crystal Palace,"Halden, Norway",2/6/2000,26-125,2,105,0,193,78,Norway,advanced
7,Alexander Sørloth,FW,1.es Atlético Madrid,"Trondheim, Norway",12/5/1995,30-188,5,337,0,194,93,Norway,advanced
2,Morten Thorsby,MF,1.it Cremonese,"Oslo, Norway",5/5/1996,30-037,1,45,0,186,72,Norway,advanced
18,Kristian Thorstvedt,MF,1.it Sassuolo,"Stavanger, Norway",3/13/1999,27-090,2,63,0,171,83,Norway,advanced
10,Martin Ødegaard,MF,1.eng Arsenal,"Drammen, Norway",12/17/1998,27-176,5,470,0,179,68,Norway,advanced
7,Breel Embolo,FW,1.fr Rennes,"YaoundÃ©, Cameroon",2/14/1997,29,6,501,2,185,83,Switzerland,advanced
9,Johan Manzambi,"MF,FW",1.de Freiburg,"GenÃ¨ve, Switzerland",10/14/2005,20,4,199,3,182,74,Switzerland,advanced
11,Dan Ndoye,"MF,FW",1.eng Nottingham,"Nyon, Switzerland",10/25/2000,25,6,406,2,184,76,Switzerland,advanced
17,Ruben Vargas,MF,1.es Sevilla,"Adligenswil, Switzerland",8/5/1998,27,6,284,2,174,77,Switzerland,advanced
10,Granit Xhaka,MF,1.eng Sunderland,"Basel, Switzerland",9/27/1992,33,6,600,1,185,79,Switzerland,advanced
20,Michel Aebischer,"MF,FW",1.it Pisa,"GenÃ¨ve, Switzerland",1/6/1997,29-156,4,156,0,178,78,Switzerland,advanced
5,Manuel Akanji,DF,1.it Inter,"Wiesendangen / Wiesendangen (Dorf), Switzerland",7/19/1995,30-327,6,600,0,187,91,Switzerland,advanced
23,Zeki Amdouni,"FW,MF",1.eng Burnley,"GenÃ¨ve, Switzerland",12/4/2000,25-189,4,73,0,183,78,Switzerland,advanced
18,Eray CÃ¶mert,DF,1.es Valencia,"Basel, Switzerland",2/4/1998,28-127,1,31,0,183,78,Switzerland,advanced
4,Nico Elvedi,DF,1.de Gladbach,"ZÃ¼rich, Switzerland",9/30/1996,29-254,6,600,0,188,83,Switzerland,advanced
16,Christian Fassnacht,"FW,MF",1.ch Young Boys,"ZÃ¼rich, Switzerland",11/11/1993,32-212,1,6,0,185,77,Switzerland,advanced
8,Remo Freuler,MF,1.it Bologna,"Ennenda, Switzerland",4/15/1992,34-057,6,592,0,180,77,Switzerland,advanced
26,Cedric Itten,"FW,MF",2.de DÃ¼sseldorf,"Basel, Switzerland",12/27/1996,29-166,3,42,0,189,81,Switzerland,advanced
25,Luca Jaquez,DF,1.de Stuttgart,"Luzern, Switzerland",6/2/2003,23-009,2,78,0,187,97,Switzerland,advanced
14,Ardon Jashari,MF,1.it Milan,"Cham, Switzerland",7/30/2002,23-316,3,72,0,181,81,Switzerland,advanced
1,Gregor Kobel,GK,1.de Dortmund,"ZÃ¼rich, Switzerland",12/6/1997,28-187,6,600,0,194,87,Switzerland,advanced
2,Miro Muheim,"DF,MF",1.de Hamburger SV,"ZÃ¼rich, Switzerland",3/24/1998,28-079,3,87,0,182,77,Switzerland,advanced
19,Noah Okafor,"FW,MF",1.eng Leeds United,"Binningen, Switzerland",5/24/2000,26-018,1,20,0,185,83,Switzerland,advanced
22,Fabian Rieder,"MF,FW",1.de Augsburg,"Koppigen, Switzerland",2/16/2002,24-115,5,302,0,181,73,Switzerland,advanced
13,Ricardo RodrÃ­guez,DF,1.es Real Betis,"ZÃ¼rich, Switzerland",8/25/1992,33-290,6,517,0,180,78,Switzerland,advanced
15,Djibril Sow,MF,1.es Sevilla,"ZÃ¼rich, Switzerland",2/6/1997,29-125,4,253,0,183,84,Switzerland,advanced
3,Silvan Widmer,DF,1.de Mainz 05,"Aarau, Switzerland",3/5/1993,33-098,5,175,0,182,78,Switzerland,advanced
6,Denis Zakaria,DF,1.fr Monaco,"Kinshasa, Congo DR",11/20/1996,29-203,4,357,0,191,76,Switzerland,advanced
10,Jonathan David,FW,1.it Juventus,"Brooklyn, NY, United States",1/14/2000,26,5,420,3,180,81,Canada,advanced
24,Promise David,FW,1.be Union SG,"Brampton, ON, Canada",7/3/2001,24,4,80,1,196,91,Canada,advanced
7,Stephen EustÃ¡quio,MF,1.pt Porto,"Leamington, ON, Canada",12/21/1996,29,5,392,1,178,69,Canada,advanced
9,Cyle Larin,FW,1.es Mallorca,"Brampton, ON, Canada",4/17/1995,31,4,190,2,188,86,Canada,advanced
25,Nathan Saliba,MF,1.be Anderlecht,"Longueuil, QC, Canada",2/7/2004,22,3,182,1,173,71,Canada,advanced
20,Ali Ahmed,MF,2.eng Norwich City,"Toronto, ON, Canada",10/10/2000,25-244,4,234,0,180,69,Canada,advanced
15,Moïse Bombito,DF,1.fr Nice,"MontrÃ©al, QC, Canada",3/30/2000,26-073,3,193,0,191,83,Canada,advanced
17,Tajon Buchanan,MF,1.es Villarreal,"Brampton, ON, Canada",2/8/1999,27-123,5,376,0,182,71,Canada,advanced
6,Mathieu ChoiniÃ¨re,MF,1.us LAFC,"Saint-Jean-sur-Richelieu, QC, Canada",2/7/1999,27-124,1,57,0,173,68,Canada,advanced
13,Derek Cornelius,DF,1.fr Marseille,"Ajax, ON, Canada",11/25/1997,28-198,4,315,0,187,86,Canada,advanced
16,Maxime CrÃ©peau,GK,1.us Orlando City,"Greenfield Park, QC, Canada",5/11/1994,32-031,5,450,0,182,87,Canada,advanced
19,Alphonso Davies,"DF,FW",1.de Bayern Munich,"Monrovia, Liberia",11/2/2000,25-221,1,16,0,178,77,Canada,advanced
4,Luc De Fougerolles,DF,1.eng Fulham,"London, England, United Kingdom",10/12/2005,20-242,5,372,0,183,72,Canada,advanced
2,Alistair Johnston,DF,1.sct Celtic,"Vancouver, BC, Canada",10/8/1998,27-246,5,450,0,180,72,Canada,advanced
8,IsmaÃ«l KonÃ©,MF,1.it Sassuolo,"Abidjan, CÃ´te d'Ivoire",6/16/2002,23-360,2,146,0,188,76,Canada,advanced
22,Richie Laryea,DF,1.us Toronto FC,"Toronto, ON, Canada",1/7/1995,31-155,5,429,0,175,69,Canada,advanced
11,Liam Millar,MF,2.eng Hull City,"Toronto, ON, Canada",9/27/1999,26-257,3,162,0,176,73,Canada,advanced
26,Jayden Nelson,"FW,MF",1.us Austin FC,"Toronto, ON, Canada",9/26/2002,23-258,1,4,0,170,60,Canada,advanced
12,Tani Oluwaseyi,FW,1.es Villarreal,"Abuja, Nigeria",5/15/2000,26-027,5,259,0,187,79,Canada,advanced
21,Jonathan Osorio,MF,1.us Toronto FC,"Toronto, ON, Canada",6/12/1992,33-364,2,5,0,175,68,Canada,advanced
14,Jacob Shaffelburg,MF,1.us LAFC,"Kentville, NS, Canada",11/26/1999,26-197,5,92,0,181,73,Canada,advanced
