Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID
646,Mert Müldür,DF,Türkiye,27,1999,1.1,2,1,Group Stage Eliminated,0.9090909090909092,Yes,1295552e
247,Frans Dhia Putros,DF,Iraq,32,1993,1.0,2,2,Group Stage Eliminated,2.0,Yes,0102aa7e
720,Tim Payne,DF,New Zealand,32,1994,2.5,3,1,Group Stage Eliminated,0.4,Yes,4e86877c
64,Abdulelah Al-Amri,DF,Saudi Arabia,29,1997,2.7,2,4,Group Stage Eliminated,1.4814814814814814,Yes,fd0affe3
655,Abdallah Nasib,DF,Jordan,32,1994,2.9,3,7,Group Stage Eliminated,2.413793103448276,Yes,aaab3072
20,Ricardo Adé,DF,Haiti,36,1990,3.0,2,5,Group Stage Eliminated,1.6666666666666667,Yes,a9ee5e81
375,Ihsan Haddad,DF,Jordan,32,1994,2.9,1,2,Group Stage Eliminated,0.6896551724137931,Yes,85660a5d
392,Moteb Al-Harbi,DF,Saudi Arabia,26,2000,2.1,1,4,Group Stage Eliminated,1.9047619047619049,Yes,1d88554c
114,Riechedly Bazoer,DF,Curaçao,29,1996,1.0,1,1,Group Stage Eliminated,1.0,Yes,da59a197
388,Lee Han-beom,DF,Korea Republic,23,2002,3.0,2,3,Group Stage Eliminated,1.0,Yes,071f2dd3
281,Eren Elmal?,DF,Türkiye,25,2000,1.2,1,2,Group Stage Eliminated,1.6666666666666667,Yes,8eeb8ba4
43,Hussein Ali,DF,Iraq,24,2002,1.8,2,2,Group Stage Eliminated,1.1111111111111112,Yes,b8a919ad
779,Ramin Rezaeian,DFMF,IR Iran,36,1990,3.0,5,2,Group Stage Eliminated,0.6666666666666666,Yes,c0ae3446
