Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID,,,,,
31,Kristoffer Ajer,DF,Norway,28,1998,5.3,8,4,Knockout,0.754716981,Yes,a8c0acb7,,,,,
32,Manuel Akanji,DF,Switzerland,30,1995,6.7,9,6,Knockout,0.895522388,Yes,89ac64a6,,,,,
33,Nathan Aké,DF,Netherlands,31,1995,1.9,0,4,Knockout,2.105263158,Yes,eaeca114,,,,,
34,Yunus Akgün,MF,Türkiye,25,2000,1,0,0,Group Stage Eliminated,0,No,1453e3cf,,,,,
35,Maghnes Akliouche,MF,France,24,2002,0.1,0,0,Knockout,0,No,b625b241,,,,,
36,Kerem Aktürko?lu,FW,Türkiye,27,1998,1.4,1,0,Group Stage Eliminated,0,No,f28659fb,,,,,
37,Ahmed Alaaeldin,FW,Qatar,33,1993,0.5,1,0,Group Stage Eliminated,0,No,74fbbb3c,,,,,
38,David Alaba,DF,Austria,33,1992,3.1,1,4,Knockout,1.290322581,Yes,05439de2,,,,,
39,Kerim Alajbegovi?,MF,Bosnia-Herz,18,2007,3.1,0,2,Knockout,0.64516129,No,f3d9291e,,,,,
40,Jordy Alcivar,MF,Ecuador,26,1999,0.5,1,0,Knockout,0,No,6e98c19f,,,,,
41,Omar Alderete,DF,Paraguay,29,1996,3.6,0,2,Knockout,0.555555556,Yes,bb08bce9,,,,,
42,Almoez Ali,FW,Qatar,29,1996,0.2,0,0,Group Stage Eliminated,0,No,bae045a9,,,,,
43,Hussein Ali,DF,Iraq,24,2002,1.8,2,2,Group Stage Eliminated,1.111111111,Yes,b8a919ad,,,,,
44,Mohanad Ali,FW,Iraq,25,2000,0.1,0,0,Group Stage Eliminated,0,No,f929049b,,,,,
45,Taha Ali,FWMF,Sweden,27,1998,0.4,0,0,Knockout,0,No,da4b8a4e,,,,,
46,Khojiakbar Alijonov,MF,Uzbekistan,29,1997,1.5,2,5,Group Stage Eliminated,3.333333333,No,e53cbd7a,,,,,
47,Ali Alipour,FW,IR Iran,30,1995,0.4,1,1,Group Stage Eliminated,2.5,No,488ee64c,,,,,
48,Alisson,GK,Brazil,33,1992,5,0,0,Knockout,0,No,7a2e46a8,,,,,
49,Thiago Almada,MF,Argentina,25,2001,2.7,4,0,Knockout,0,No,27f33438,,,,,
50,Miguel Almirón,MFFW,Paraguay,32,1994,3.1,7,3,Knockout,0.967741935,No,862a1c15,,,,,
51,Júnior Alonso,DF,Paraguay,33,1993,4.3,9,4,Knockout,0.930232558,Yes,b18a3023,,,,,
52,Bar?? Alper Y?lmaz,MFFW,Türkiye,26,2000,2,0,0,Group Stage Eliminated,0,No,414b2ce4,,,,,
53,Roberto Alvarado,FWMF,Mexico,27,1998,4.8,3,2,Knockout,0.416666667,No,ff871e14,,,,,
54,Edson Álvarez,MFDF,Mexico,28,1997,2.7,6,3,Knockout,1.111111111,Yes,8b3ab7ad,,,,,
55,Julián Álvarez,FW,Argentina,26,2000,6.7,4,3,Knockout,0.447761194,No,15ab5a2b,,,,,
56,Ayoube Amaimouni,MF,Morocco,21,2004,0.2,1,0,Knockout,0,No,c5a07a5e,,,,,
57,Zeki Amdouni,FWMF,Switzerland,25,2000,0.8,1,0,Knockout,0,No,2ee5b0c9,,,,,
58,Michael Amir Murillo,DFMF,Panama,30,1996,3,3,1,Group Stage Eliminated,0.333333333,Yes,349cae8f,,,,,
59,Nadiem Amiri,MF,Germany,29,1996,0.5,1,0,Knockout,0,No,555d5edd,,,,,
60,Amir Al Ammari,MF,Iraq,28,1997,2.7,1,2,Group Stage Eliminated,0.740740741,No,9f65be73,,,,,
61,Azizbek Amonov,FW,Uzbekistan,28,1997,0.2,0,0,Group Stage Eliminated,0,No,f487314f,,,,,
62,Mohamed Amoura,FWMF,Algeria,26,2000,0.3,0,0,Knockout,0,No,6597f8b6,,,,,
63,Sofyan Amrabat,MF,Morocco,29,1996,1.6,1,2,Knockout,1.25,No,5a2cb25d,,,,,
64,Abdulelah Al-Amri,DF,Saudi Arabia,29,1997,2.7,2,4,Group Stage Eliminated,1.481481481,Yes,fd0affe3,,,,,
65,Youssef Amyn,MF,Iraq,22,2003,0.3,0,0,Group Stage Eliminated,0,No,10c12f22,,,,,
66,Elliot Anderson,MF,England,23,2002,7,18,8,Knockout,1.142857143,No,de31038e,,,,,
67,Andrés Andrade Cedeño,DF,Panama,27,1998,3,3,3,Group Stage Eliminated,1,Yes,6ea23758,,,,,
68,Fredrik André Bjørkan,DF,Norway,27,1998,0.5,1,2,Knockout,4,Yes,3724baa1,,,,,
69,Nilson Angulo,MF,Ecuador,22,2003,2.4,1,2,Knockout,0.833333333,No,a9b9d89c,,,,,
70,Waldemar Anton,DFMF,Germany,29,1996,0.6,1,2,Knockout,3.333333333,Yes,5e66fa06,,,,,
71,Jeremy Antonisse,FWMF,Curaçao,24,2002,0.8,1,0,Group Stage Eliminated,0,No,6011e63a,,,,,
72,Houssem Aouar,MF,Algeria,27,1998,1.9,1,0,Knockout,0,No,a5db0bec,,,,,
73,Oswin Appollis,MFFW,South Africa,24,2001,2.8,3,1,Knockout,0.357142857,No,e8933eb0,,,,,
74,Yazan Al-Arab,DF,Jordan,30,1996,3,1,11,Group Stage Eliminated,3.666666667,Yes,32878a09,,,,,
75,Maxi Araújo,FWMF,Uruguay,26,2000,2.8,0,0,Group Stage Eliminated,0,No,f9ab3f4a,,,,,
76,Tomás Araújo,DF,Portugal,24,2002,1,0,1,Knockout,1,Yes,0fa11d7d,,,,,
77,Telmo Arcanjo,MF,Cabo Verde,24,2001,0.6,0,0,Knockout,0,No,c692cef2,,,,,
78,Álex Arce,FW,Paraguay,30,1995,0.6,1,0,Knockout,0,No,10411db2,,,,,
79,Carlens Arcus,MFDF,Haiti,29,1996,1.6,3,3,Group Stage Eliminated,1.875,Yes,5e837126,,,,,
80,Max Arfsten,MF,USA,25,2001,0,0,0,Knockout,,No,668f881e,,,,,
81,Jhon Arias,MF,Colombia,28,1997,4.2,9,2,Knockout,0.476190476,No,86d96066,,,,,
82,Santiago Arias,DF,Colombia,34,1992,1,2,1,Knockout,1,Yes,fdd60087,,,,,
83,Marko Arnautovi?,FW,Austria,37,1989,1.6,0,0,Knockout,0,No,00459419,,,,,
84,Benjamin Asare,GK,Ghana,33,1992,2.5,0,0,Knockout,0,No,4bb65492,,,,,
85,Emam Ashour,MF,Egypt,28,1998,4,2,4,Knockout,1,No,31b7d437,,,,,
86,Rustam Ashurmatov,DF,Uzbekistan,29,1996,2.8,2,7,Group Stage Eliminated,2.5,Yes,a0ecd397,,,,,
87,Lawrence Ati-Zigi,GK,Ghana,29,1996,1.5,0,0,Knockout,0,No,a12402c3,,,,,
88,Marwan Attia,MF,Egypt,27,1998,4.8,3,3,Knockout,0.625,No,1ea3d7ec,,,,,
89,Fredrik Aursnes,MFDF,Norway,30,1995,3.4,8,1,Knockout,0.294117647,Yes,f0677ed7,,,,,
90,Gabriel Ávalos,FW,Paraguay,35,1990,1.6,2,0,Knockout,0,No,b6781b67,,,,,
91,Yasin Ayari,MF,Sweden,22,2003,3.8,4,3,Knockout,0.789473684,No,f173303a,,,,,
92,O?uz Ayd?n,DF,Türkiye,25,2000,1,6,0,Group Stage Eliminated,0,Yes,a7b98226,,,,,
93,Jordan Ayew,FW,Ghana,34,1991,3.3,3,1,Knockout,0.303030303,No,da052c14,,,,,
94,Kaan Ayhan,DFMF,Türkiye,31,1994,0,0,0,Group Stage Eliminated,,No,2200181e,,,,,
95,Neil El Aynaoui,MF,Morocco,24,2001,6.2,9,8,Knockout,1.290322581,No,17e1261b,,,,,
96,Ali Azaizeh,MF,Jordan,22,2004,0.6,3,0,Group Stage Eliminated,0,No,3a46ac67,,,,,
97,Juninho Bacuna,MF,Curaçao,28,1997,2.8,4,5,Group Stage Eliminated,1.785714286,No,aaf1bf05,,,,,
98,Leandro Bacuna,MF,Curaçao,34,1991,3,3,0,Group Stage Eliminated,0,No,9dc69d38,,,,,
99,Álex Baena,MFFW,Spain,24,2001,5.3,5,2,Knockout,0.377358491,No,518f2234,,,,,
100,Esmir Bajraktarevic,MF,Bosnia-Herz,21,2005,2.6,0,3,Knockout,1.153846154,No,dff24174,,,,,
101,Cédric Bakambu,FW,Congo DR,35,1991,2.1,0,0,Knockout,0,No,0af4dcf0,,,,,
102,Fabián Balbuena,DF,Paraguay,34,1991,0,0,0,Knockout,,No,3626f7d9,,,,,
103,Folarin Balogun,FW,USA,24,2001,3.5,0,1,Knockout,0.285714286,No,31822f8c,,,,,
104,Simon Banza,FWMF,Congo DR,29,1996,0.4,1,0,Knockout,0,No,be47b750,,,,,
105,Yoel Bárcenas,MF,Panama,32,1993,2.8,0,2,Group Stage Eliminated,0.714285714,No,b39849eb,,,,,
106,Valentín Barco,DFMF,Argentina,21,2004,0.2,0,0,Knockout,0,Yes,b9f282ec,,,,,
107,Bradley Barcola,MF,France,23,2002,4.3,4,1,Knockout,0.23255814,No,a0d55a09,,,,,
108,Abdülkerim Bardakc?,DF,Türkiye,31,1994,2.9,5,2,Group Stage Eliminated,0.689655172,Yes,5d9cff53,,,,,
109,Ivan Baši?,MF,Bosnia-Herz,24,2002,2,1,3,Knockout,1.5,No,9b0a0d51,,,,,
110,Ahmed Basil,GK,Iraq,29,1996,1.5,0,0,Group Stage Eliminated,0,No,3bf9e631,,,,,
111,Martin Baturina,MFFW,Croatia,23,2003,3.6,2,1,Knockout,0.277777778,No,d1eda5f0,,,,,
112,Ibrahim Bayesh,MFFW,Iraq,26,2000,2.6,4,1,Group Stage Eliminated,0.384615385,No,2f2003ba,,,,,
113,Samed Baždar,FW,Bosnia-Herz,22,2004,0.3,0,0,Knockout,0,No,e59c9d0d,,,,,
114,Riechedly Bazoer,DF,Curaçao,29,1996,1,1,1,Group Stage Eliminated,1,Yes,da59a197,,,,,
115,Patrick Beach,GK,Australia,22,2003,4.3,0,0,Knockout,0,No,3cc64624,,,,,
116,Aziz Behich,MF,Australia,35,1990,2.4,4,1,Knockout,0.416666667,No,b6867b96,,,,,
117,Maximilian Beier,FWMF,Germany,23,2002,0.3,0,0,Knockout,0,No,5db45ee5,,,,,
118,Alireza Beiranvand,GK,IR Iran,33,1992,3,0,0,Group Stage Eliminated,0,No,6ca0b04a,,,,,
119,Zineddine Belaïd,DF,Algeria,27,1999,0.3,0,0,Knockout,0,Yes,b2562589,,,,,
120,Rafik Belghali,DF,Algeria,24,2002,3.7,3,1,Knockout,0.27027027,Yes,0abcb968,,,,,
121,Joe Bell,MF,New Zealand,27,1999,2.7,2,4,Group Stage Eliminated,1.481481481,No,7825847e,,,,,
122,Jean-Ricner Bellegarde,MF,Haiti,27,1998,2.9,2,3,Group Stage Eliminated,1.034482759,No,10f0fdd3,,,,,
123,Jude Bellingham,MF,England,22,2003,6.8,10,3,Knockout,0.441176471,No,57d88cf9,,,,,
124,Mortadha Ben Ouanes,DFMF,Tunisia,31,1994,0.3,0,0,Group Stage Eliminated,0,Yes,1798891a,,,,,
125,Anis Ben Slimane,MFFW,Tunisia,25,2001,2.7,2,2,Group Stage Eliminated,0.740740741,No,9ade9ce1,,,,,
126,Oussama Benbot,GK,Algeria,31,1994,1,0,0,Knockout,0,No,dcae580c,,,,,
127,Nadhir Benbouali,FW,Algeria,26,2000,0.5,1,0,Knockout,0,No,cd25f2b3,,,,,
128,Gilson Benchimol,FW,Cabo Verde,24,2001,0.9,0,0,Knockout,0,No,eae26fce,,,,,
129,Ramy Bensebaini,DF,Algeria,31,1995,4,6,7,Knockout,1.75,Yes,378825c7,,,,,
130,Nabil Bentaleb,MF,Algeria,31,1994,3.2,4,3,Knockout,0.9375,No,3189f61a,,,,,
131,Rodrigo Bentancur,MF,Uruguay,28,1997,3,5,7,Group Stage Eliminated,2.333333333,No,3b8674e6,,,,,
132,Patrick Berg,MF,Norway,28,1997,4.9,7,2,Knockout,0.408163265,No,e4114f5d,,,,,
133,Sander Berge,MF,Norway,28,1998,5.3,4,9,Knockout,1.698113208,No,d0b6129f,,,,,
134,Lucas Bergvall,MF,Sweden,20,2006,2,2,2,Knockout,1,No,a109e5c8,,,,,
135,Sebastian Berhalter,MF,USA,25,2001,2.1,0,3,Knockout,1.428571429,No,f33ee427,,,,,
136,Alexander Bernhardsson,MF,Sweden,27,1998,2.4,2,2,Knockout,0.833333333,No,dea1d183,,,,,
137,Tyler Bindon,DF,New Zealand,21,2005,1.1,2,1,Group Stage Eliminated,0.909090909,Yes,3575e5eb,,,,,
138,César Blackman,MFDF,Panama,28,1998,2,0,1,Group Stage Eliminated,0.5,Yes,c2b11050,,,,,
139,Damián Bobadilla,MF,Paraguay,24,2001,2.1,3,5,Knockout,2.380952381,No,ad7d6437,,,,,
140,Oscar Bobb,FW,Norway,22,2003,2.5,3,3,Knockout,1.2,No,eed2427e,,,,,
141,Moïse Bombito,DF,Canada,26,2000,2.1,0,1,Knockout,0.476190476,Yes,c2f23fc8,,,,,
142,Theo Bongonda,FWMF,Congo DR,30,1995,0.4,0,1,Knockout,2.5,No,0da6a13e,,,,,
143,Ange-Yoan Bonny,FW,Côte d'Ivoire,22,2003,2.6,2,1,Knockout,0.384615385,No,64629ba4,,,,,
144,Jordy Bos,MFDF,Australia,23,2002,3.4,3,3,Knockout,0.882352941,Yes,8070a9fd,,,,,
145,Ayyoub Bouaddi,MF,Morocco,18,2007,4.2,3,1,Knockout,0.238095238,No,8006228f,,,,,
146,Hicham Boudaoui,MF,Algeria,26,1999,1.4,1,2,Knockout,1.428571429,No,f9d5908e,,,,,
147,Karim Boudiaf,MF,Qatar,35,1990,1.1,0,0,Group Stage Eliminated,0,No,a38f33fd,,,,,
148,Adil Boulbina,FW,Algeria,23,2003,0.2,0,0,Knockout,0,No,12f7f264,,,,,
149,Yassine Bounou,GK,Morocco,35,1991,6.3,0,0,Knockout,0,No,f6798fc3,,,,,
150,Nawaf Boushal,DF,Saudi Arabia,26,1999,1,0,1,Group Stage Eliminated,1,Yes,7dc1c2c6,,,,,
151,Michael Boxall,DF,New Zealand,37,1988,2.3,1,2,Group Stage Eliminated,0.869565217,Yes,6bfa0d3a,,,,,
152,Sultan Al-Brake,DF,Qatar,30,1996,1.6,1,2,Group Stage Eliminated,1.25,Yes,fcaa2400,,,,,
153,Joshua Brenet,DF,Curaçao,32,1994,2,4,1,Group Stage Eliminated,0.5,Yes,2b5527c4,,,,,
154,Brian Brobbey,FW,Netherlands,24,2002,2.5,1,0,Knockout,0,No,4c184730,,,,,
155,Dylan Bronn,DF,Tunisia,30,1995,0.5,0,1,Group Stage Eliminated,2,Yes,edd81e2a,,,,,
156,Nathaniel Brown,DF,Germany,22,2003,3.1,6,2,Knockout,0.64516129,Yes,abc79c47,,,,,
157,Tajon Buchanan,MF,Canada,27,1999,4.2,5,1,Knockout,0.238095238,No,3aca6420,,,,,
158,Ante Budimir,FW,Croatia,34,1991,1.7,1,0,Knockout,0,No,8f3565b3,,,,,
159,Firas Al-Buraikan,FW,Saudi Arabia,26,2000,2.6,0,1,Group Stage Eliminated,0.384615385,No,ac717a23,,,,,
160,Cameron Burgess,DF,Australia,30,1995,1.5,1,1,Knockout,0.666666667,Yes,da61ca98,,,,,
161,Dan Burn,DF,England,34,1992,0.4,0,0,Knockout,0,Yes,b2d31e83,,,,,
162,Dženis Burni?,MF,Bosnia-Herz,28,1998,0.2,0,0,Knockout,0,No,0dabaf14,,,,,
163,Gustavo Caballero,FWMF,Paraguay,24,2001,1.1,2,0,Knockout,0,No,90a38ca7,,,,,
164,Jovane Cabral,FW,Cabo Verde,28,1998,1.5,3,1,Knockout,0.666666667,No,e34e086c,,,,,
165,Liberato Cacace,DF,New Zealand,25,2000,2.4,2,3,Group Stage Eliminated,1.25,Yes,dd86e8e4,,,,,
166,Juan Cáceres,DF,Paraguay,26,2000,4.8,11,5,Knockout,1.041666667,Yes,db887bdf,,,,,
167,Sebastián Cáceres,DF,Uruguay,26,1999,3,1,2,Group Stage Eliminated,0.666666667,Yes,7091c68e,,,,,
168,Jordy Caicedo,FW,Ecuador,28,1997,0.2,0,0,Knockout,0,No,7fcb27d8,,,,,
169,Moisés Caicedo,MF,Ecuador,24,2001,4,6,4,Knockout,1,No,16264a81,,,,,
170,U?urcan Çak?r,GK,Türkiye,30,1996,3,0,0,Group Stage Eliminated,0,No,f63a8347,,,,,
171,Hakan Çalhano?lu,MF,Türkiye,32,1994,2,3,1,Group Stage Eliminated,0.5,No,cd0fa27b,,,,,
172,Lamine Camara,MF,Senegal,22,2004,2.8,1,2,Knockout,0.714285714,No,19c2ffa4,,,,,
173,Jaminton Campaz,FWMF,Colombia,26,2000,0.8,1,0,Knockout,0,No,8d5ceef2,,,,,
174,?rfan Can Kahveci,MF,Türkiye,30,1995,0,1,0,Group Stage Eliminated,,No,d2800f47,,,,,
175,José Canale,DF,Paraguay,29,1996,1.8,6,1,Knockout,0.555555556,Yes,97d24b73,,,,,
176,João Cancelo,DF,Portugal,32,1994,3.5,4,5,Knockout,1.428571429,Yes,bd6351cd,,,,,
177,Agustín Canobbio,FW,Uruguay,27,1998,2.5,3,2,Group Stage Eliminated,0.8,No,4f5a2f38,,,,,
178,Casemiro,MF,Brazil,34,1992,4.2,5,6,Knockout,1.428571429,No,4d224fe8,,,,,
179,Josué Casimir,MF,Haiti,24,2001,2,0,0,Group Stage Eliminated,0,No,481f76cf,,,,,
180,Timothy Castagne,DF,Belgium,30,1995,5.3,7,8,Knockout,1.509433962,Yes,197640fd,,,,,
181,Kevin Castaño,MF,Colombia,25,2000,0.2,0,0,Knockout,0,No,c393c3d9,,,,,
182,Jens Castrop,MF,Korea Republic,22,2003,0.5,0,0,Group Stage Eliminated,0,No,03fee7de,,,,,
183,Zeki Çelik,DF,Türkiye,29,1997,1.8,3,1,Group Stage Eliminated,0.555555556,Yes,31a62dc7,,,,,
184,Lukáš ?erv,MF,Czechia,25,2001,1.8,3,0,Group Stage Eliminated,0,No,bb4a41bc,,,,,
185,Fares Chaïbi,MF,Algeria,23,2002,4,5,3,Knockout,0.75,No,357103bd,,,,,
186,Trevoh Chalobah,DFMF,England,26,1999,0,0,0,Knockout,,No,5515376c,,,,,
187,Št?pán Chaloupek,DF,Czechia,23,2003,1,0,2,Group Stage Eliminated,2,Yes,ded82b9a,,,,,
188,Mouhib Chamakh,GK,Tunisia,24,2001,1,0,0,Group Stage Eliminated,0,No,9627f87b,,,,,
189,Firas Chaouat,FW,Tunisia,30,1996,0.5,0,0,Group Stage Eliminated,0,No,7fa8ef98,,,,,
190,Luis Chávez,MF,Mexico,30,1996,0.3,1,0,Knockout,0,No,e50949ea,,,,,
191,Mateo Chávez,DF,Mexico,22,2004,0.9,1,0,Knockout,0,Yes,f82246a1,,,,,
192,Samir Chergui,DF,Algeria,27,1999,0.2,0,0,Knockout,0,Yes,4b6ab1da,,,,,
193,Rayan Cherki,MF,France,22,2003,1.4,1,1,Knockout,0.714285714,No,b34c63a5,,,,,
194,Mathieu Choinière,MF,Canada,27,1999,0.6,1,2,Knockout,3.333333333,No,017459bb,,,,,
195,Tahith Chong,MF,Curaçao,26,1999,2.7,0,1,Group Stage Eliminated,0.37037037,No,2696b6a9,,,,,
196,Tomáš Chorý,FW,Czechia,31,1995,0.3,0,0,Group Stage Eliminated,0,No,163bbd4a,,,,,
197,Ryan Christie,MF,Scotland,31,1995,1.1,3,2,Group Stage Eliminated,1.818181818,No,26ce2263,,,,,
198,Carney Chukwuemeka,MF,Austria,22,2003,0.9,0,0,Knockout,0,No,b2f9c73e,,,,,
199,Mojmír Chytil,FW,Czechia,27,1999,0.1,0,0,Group Stage Eliminated,0,No,01a08323,,,,,
200,Brian Cipenga,MFFW,Congo DR,28,1998,1.6,2,0,Knockout,0,No,e4787d6f,,,,,
201,Alessandro Circati,DF,Australia,22,2003,4.3,7,2,Knockout,0.465116279,Yes,1223765c,,,,,
202,Pathé Ciss,DF,Senegal,32,1994,2,0,0,Knockout,0,Yes,9a0408b6,,,,,
203,Livano Comenencia,MF,Curaçao,22,2004,2.6,1,11,Group Stage Eliminated,4.230769231,No,c9d96dc1,,,,,
204,Eray Cömert,DF,Switzerland,28,1998,0.3,0,0,Knockout,0,Yes,15937e17,,,,,
205,Francisco Conceição,MF,Portugal,23,2002,1.4,2,0,Knockout,0,No,5ef3d210,,,,,
206,Jhon Córdoba,FW,Colombia,33,1993,1.1,0,0,Knockout,0,No,9f381d8b,,,,,
207,José Córdoba,DF,Panama,25,2001,3,3,1,Group Stage Eliminated,0.333333333,Yes,bec98750,,,,,
208,Derek Cornelius,DF,Canada,28,1997,3.5,3,2,Knockout,0.571428571,Yes,577744b8,,,,,
209,Diogo Costa,GK,Portugal,26,1999,5,0,0,Knockout,0,No,93fffbcf,,,,,
210,Nuno da Costa,FW,Cabo Verde,35,1991,1.8,2,1,Knockout,0.555555556,No,909222de,,,,,
211,Samu Costa,MF,Portugal,25,2000,0.2,1,0,Knockout,0,No,76c2a023,,,,,
212,Vladimír Coufal,MFDF,Czechia,33,1992,3,1,2,Group Stage Eliminated,0.666666667,Yes,fdf3cb77,,,,,
213,Thibaut Courtois,GK,Belgium,34,1992,6.1,0,0,Knockout,0,No,1840e36d,,,,,
214,Maxime Crépeau,GK,Canada,32,1994,5,1,0,Knockout,0,No,ea42e480,,,,,
215,Max Crocombe,GK,New Zealand,32,1993,3,0,0,Group Stage Eliminated,0,No,fdf47077,,,,,
216,Pau Cubarsí,DF,Spain,19,2007,8.3,4,4,Knockout,0.481927711,Yes,cc7888f3,,,,,
217,Andrés Cubas,MF,Paraguay,30,1996,5.3,13,11,Knockout,2.075471698,No,9b40a6ea,,,,,
218,Cucho,FWMF,Colombia,27,1999,0.6,0,0,Knockout,0,No,71b47ab9,,,,,
219,Marc Cucurella,DF,Spain,27,1998,8.3,4,7,Knockout,0.843373494,Yes,1daec722,,,,,
220,Matheus Cunha,FW,Brazil,27,1999,3.2,3,3,Knockout,0.9375,No,dc62b55d,,,,,
221,Findlay Curtis,MF,Scotland,19,2006,0.1,0,0,Group Stage Eliminated,0,No,e2a68b89,,,,,
222,Aymen Dahmen,GK,Tunisia,29,1997,2,0,0,Group Stage Eliminated,0,No,8bf49030,,,,,
223,Diogo Dalot,DFMF,Portugal,27,1999,0.7,2,0,Knockout,0,Yes,d9565625,,,,,
224,Danilo,DF,Brazil,34,1991,4.5,2,7,Knockout,1.555555556,Yes,94b2001f,,,,,
225,Kevin Danso,DF,Austria,27,1998,2.7,1,0,Knockout,0,Yes,6e33125f,,,,,
226,Vladimír Darida,MF,Czechia,35,1990,0.6,0,1,Group Stage Eliminated,1.666666667,No,3eb0f2df,,,,,
227,Jonathan David,FW,Canada,26,2000,4.7,1,3,Knockout,0.638297872,No,ce50fd99,,,,,
228,Promise David,FW,Canada,24,2001,0.9,1,1,Knockout,1.111111111,No,dbe19468,,,,,
229,Alphonso Davies,DFFW,Canada,25,2000,0.2,0,0,Knockout,0,Yes,d781d855,,,,,
230,Erick Davis,DF,Panama,35,1991,0,1,0,Group Stage Eliminated,,No,2ffb0739,,,,,
231,Nasser Al-Dawsari,MF,Saudi Arabia,27,1998,2.3,4,4,Group Stage Eliminated,1.739130435,No,7709e4a6,,,,,
232,Salem Al-Dawsari,MF,Saudi Arabia,34,1991,2.7,1,1,Group Stage Eliminated,0.37037037,No,60ee859c,,,,,
233,Mohammad Al-Dawud,FWMF,Jordan,34,1992,0,0,0,Group Stage Eliminated,,No,e645c3fc,,,,,
234,Kevin De Bruyne,MF,Belgium,34,1991,4.2,2,0,Knockout,0,No,e46012d4,,,,,
235,Maxim De Cuyper,DF,Belgium,25,2000,4.9,2,6,Knockout,1.224489796,Yes,d494882e,,,,,
236,Luc De Fougerolles,DF,Canada,20,2005,4.1,6,2,Knockout,0.487804878,Yes,45c427ff,,,,,
237,Charles De Ketelaere,FWMF,Belgium,25,2001,3.9,4,5,Knockout,1.282051282,No,2ef7c612,,,,,
