Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID
219,Marc Cucurella,DF,Spain,27,1998,8.3,4,7,Knockout,0.8433734939759036,Yes,1daec722
224,Danilo,DF,Brazil,34,1991,4.5,2,7,Knockout,1.5555555555555556,Yes,94b2001f
225,Kevin Danso,DF,Austria,27,1998,2.7,1,0,Knockout,0.0,Yes,6e33125f
235,Maxim De Cuyper,DF,Belgium,25,2000,4.9,2,6,Knockout,1.2244897959183672,Yes,d494882e
236,Luc De Fougerolles,DF,Canada,20,2005,4.1,6,2,Knockout,0.48780487804878053,Yes,45c427ff
240,Amar Dedi?,DF,Bosnia-Herz,23,2002,3.0,7,1,Knockout,0.3333333333333333,Yes,bc6e544a
242,Hannes Delcroix,DF,Haiti,27,1999,3.0,3,4,Group Stage Eliminated,1.3333333333333333,Yes,b737f944
244,Merih Demiral,DF,Türkiye,28,1998,2.0,1,1,Group Stage Eliminated,0.5,Yes,e3cceee6
247,Frans Dhia Putros,DF,Iraq,32,1993,1.0,2,2,Group Stage Eliminated,2.0,Yes,0102aa7e
252,Rúben Dias,DF,Portugal,29,1997,4.0,3,5,Knockout,1.25,Yes,31c69ef1
253,Krépin Diatta,DF,Senegal,27,1999,4.3,10,3,Knockout,0.6976744186046512,Yes,8104e41e
259,Lucas Digne,DF,France,32,1993,5.1,3,2,Knockout,0.3921568627450981,Yes,1b84dbe1
260,Diney,DF,Cabo Verde,31,1995,4.3,7,4,Knockout,0.9302325581395349,Yes,d2e33ba2
261,Ousmane Diomande,DF,Côte d'Ivoire,22,2003,1.0,0,1,Knockout,1.0,Yes,394be156
263,Issa Diop,DF,Morocco,29,1997,5.3,1,7,Knockout,1.3207547169811322,Yes,a712ca2b
264,El Hadji Malick Diouf,DF,Senegal,21,2004,1.9,1,1,Knockout,0.5263157894736842,Yes,bd5eb2e5
267,Merchas Doski,DF,Iraq,26,1999,3.0,9,6,Group Stage Eliminated,2.0,Yes,fdf4cfe5
270,Guéla Doué,DF,Côte d'Ivoire,23,2002,3.1,5,3,Knockout,0.9677419354838709,Yes,b4ef3fb5
273,Denzel Dumfries,DFMF,Netherlands,30,1996,4.3,6,1,Knockout,0.23255813953488372,Yes,481c9ece
274,Jean-Kevin Duverne,DF,Haiti,28,1997,1.9,2,4,Group Stage Eliminated,2.1052631578947367,Yes,0cbc8baa
281,Eren Elmal?,DF,Türkiye,25,2000,1.2,1,2,Group Stage Eliminated,1.6666666666666667,Yes,8eeb8ba4
282,Nico Elvedi,DF,Switzerland,29,1996,6.7,2,6,Knockout,0.8955223880597015,Yes,48035304
287,Fidel Escobar,DF,Panama,31,1995,1.0,2,1,Group Stage Eliminated,1.0,Yes,4991ec66
291,Martin Expérience,DFMF,Haiti,27,1999,3.0,6,4,Group Stage Eliminated,1.3333333333333333,Yes,9edb83f4
302,Hamdy Fathy,DFMF,Egypt,31,1994,2.6,3,2,Knockout,0.7692307692307692,Yes,c8ef4955
303,Ahmed Fatouh,DF,Egypt,28,1998,3.0,5,4,Knockout,1.3333333333333333,Yes,de13286d
311,Sherel Floranus,DF,Curaçao,27,1998,3.0,6,4,Group Stage Eliminated,1.3333333333333333,Yes,5ad49fbb
314,Deveron Fonville,DF,Curaçao,23,2003,2.7,3,5,Group Stage Eliminated,1.8518518518518516,Yes,21932982
317,Alan Franco,DF,Ecuador,27,1998,2.8,6,4,Knockout,1.4285714285714286,Yes,c76b161b
318,Alex Freeman,DF,USA,21,2004,4.2,6,7,Knockout,1.6666666666666665,Yes,754f150b
322,Juriën Gaari,DF,Curaçao,32,1993,1.8,2,2,Group Stage Eliminated,1.1111111111111112,Yes,bf7a9d1a
327,Jesús Gallardo,DF,Mexico,31,1994,4.1,1,7,Knockout,1.707317073170732,Yes,d0846b6c
339,Lee Gi-hyuk,DF,Korea Republic,25,2000,3.0,4,5,Group Stage Eliminated,1.6666666666666667,Yes,18c8c3c7
346,Gustavo Gómez,DF,Paraguay,33,1993,5.3,3,2,Knockout,0.37735849056603776,Yes,d5ce52a5
356,Florian Grillitsch,DFMF,Austria,30,1995,1.0,1,0,Knockout,0.0,Yes,ffbbc83b
358,Gabriel Gudmundsson,MFDF,Sweden,27,1999,3.7,3,5,Knockout,1.3513513513513513,Yes,d5d22a58
360,Marc Guéhi,DF,England,25,2000,7.4,1,6,Knockout,0.8108108108108107,Yes,d0706b27
368,Malo Gusto,DF,France,23,2003,1.3,3,2,Knockout,1.5384615384615383,Yes,d56b9520
370,Jorge Gutiérrez,DF,Panama,27,1998,1.0,1,1,Group Stage Eliminated,1.0,Yes,56f6d192
371,Joško Gvardiol,DF,Croatia,24,2002,1.5,2,2,Knockout,1.3333333333333333,Yes,5ad50391
375,Ihsan Haddad,DF,Jordan,32,1994,2.9,1,2,Group Stage Eliminated,0.6896551724137931,Yes,85660a5d
377,Jaouen Hadjam,DF,Algeria,23,2003,1.2,1,1,Knockout,0.8333333333333334,Yes,576817b7
380,Karim Hafez,DF,Egypt,30,1996,1.9,1,3,Knockout,1.5789473684210527,Yes,d2debf23
381,Ehsan Hajsafi,DF,IR Iran,36,1990,1.0,0,1,Group Stage Eliminated,1.0,Yes,b060e3b8
382,Achraf Hakimi,DF,Morocco,27,1998,6.3,10,5,Knockout,0.7936507936507937,Yes,e42d61c7
383,Redouane Halhal,DF,Morocco,23,2003,2.0,1,1,Knockout,0.5,Yes,e17c2cec
386,Mohamed Amine Ben Hamida,DF,Tunisia,30,1995,2.2,9,1,Group Stage Eliminated,0.45454545454545453,Yes,2a5e8f82
388,Lee Han-beom,DF,Korea Republic,23,2002,3.0,2,3,Group Stage Eliminated,1.0,Yes,071f2dd3
389,Grant Hanley,DF,Scotland,34,1991,2.0,2,1,Group Stage Eliminated,0.5,Yes,e9254eec
391,Mohamed Hany,DF,Egypt,30,1996,5.3,9,6,Knockout,1.1320754716981132,Yes,9bcf1513
392,Moteb Al-Harbi,DF,Saudi Arabia,26,2000,2.1,1,4,Group Stage Eliminated,1.9047619047619047,Yes,1d88554c
393,Saleh Hardani,DF,IR Iran,27,1998,1.0,2,2,Group Stage Eliminated,2.0,Yes,3a9b682b
395,Akam Hashim,DF,Iraq,27,1998,3.0,1,2,Group Stage Eliminated,0.6666666666666666,Yes,f8416e89
402,Jan Paul van Hecke,DF,Netherlands,26,2000,4.3,3,4,Knockout,0.9302325581395349,Yes,4fd08daa
404,Torbjørn Heggem,DF,Norway,27,1999,4.9,7,2,Knockout,0.4081632653061224,Yes,834fea76
408,Jack Hendry,DF,Scotland,31,1995,3.0,2,0,Group Stage Eliminated,0.0,Yes,ffed43e3
410,Theo Hernández,DF,France,28,1997,2.9,1,3,Knockout,1.0344827586206897,Yes,d4c9725f
411,Lucas Herrington,DF,Australia,18,2007,2.3,1,2,Knockout,0.8695652173913044,Yes,6f808c85
414,Isak Hien,DF,Sweden,27,1999,2.4,3,1,Knockout,0.4166666666666667,Yes,12806697
415,Piero Hincapié,DF,Ecuador,24,2002,3.8,5,4,Knockout,1.0526315789473684,Yes,0c7a48f8
417,Tomáš Holeš,DF,Czechia,33,1993,1.7,3,4,Group Stage Eliminated,2.3529411764705883,Yes,e03c2d97
419,Robin Hraná?,DF,Czechia,26,2000,3.0,0,1,Group Stage Eliminated,0.3333333333333333,Yes,95d5aea2
427,Yasser Ibrahim,DF,Egypt,33,1993,5.2,6,3,Knockout,0.5769230769230769,Yes,0b89ad1b
438,Ko Itakura,DF,Japan,29,1997,1.4,0,1,Knockout,0.7142857142857143,Yes,97d545ae
439,Jacob Italiano,DF,Australia,24,2001,1.8,2,1,Knockout,0.5555555555555556,Yes,2eb0ee9a
440,Hiroki Ito,DF,Japan,27,1999,4.0,2,0,Knockout,0.0,Yes,204dded0
446,Ismail Jakobs,DF,Senegal,26,1999,2.4,2,2,Knockout,0.8333333333333334,Yes,a0415710
447,Reece James,DF,England,26,1999,3.5,3,3,Knockout,0.8571428571428571,Yes,1265a93a
458,Alistair Johnston,DF,Canada,27,1998,5.0,2,6,Knockout,1.2,Yes,4fb17e20
466,Ozan Kabak,DF,Türkiye,26,2000,1.0,2,0,Group Stage Eliminated,0.0,Yes,2d61d13a
467,Ferdi Kadioglu,DF,Türkiye,26,1999,1.8,2,1,Group Stage Eliminated,0.5555555555555556,Yes,66c52a77
472,Hossein Kanaanizadegan,DF,IR Iran,32,1994,1.5,0,2,Group Stage Eliminated,1.3333333333333333,Yes,24353c25
476,Steve Kapuadi,DF,Congo DR,28,1998,2.0,1,1,Knockout,0.5,Yes,3f3c941a
477,Bekhruz Karimov,DF,Uzbekistan,18,2007,2.0,5,3,Group Stage Eliminated,1.5,Yes,74cdaeba
480,Nikola Kati?,DF,Bosnia-Herz,29,1996,3.5,6,5,Knockout,1.4285714285714286,Yes,35bd124a
485,Shoja' Khalilzadeh,DF,IR Iran,37,1989,3.0,3,3,Group Stage Eliminated,1.0,Yes,0aed29f1
489,Boualem Khoukhi,DF,Qatar,35,1990,3.0,3,3,Group Stage Eliminated,1.0,Yes,7be5ad52
490,Abdukodir Khusanov,DF,Uzbekistan,22,2004,3.0,3,5,Group Stage Eliminated,1.6666666666666667,Yes,d17ce930
491,Joshua Kimmich,DF,Germany,31,1995,3.9,4,4,Knockout,1.0256410256410258,Yes,49296448
495,Sead Kolašinac,DF,Bosnia-Herz,32,1993,3.7,6,2,Knockout,0.5405405405405405,Yes,3935e52e
496,Ghislain Konan,DF,Côte d'Ivoire,30,1995,3.0,3,0,Knockout,0.0,Yes,6b2c894b
500,Ezri Konsa,DF,England,28,1997,7.2,5,8,Knockout,1.1111111111111112,Yes,0313a347
501,Teun Koopmeiners,DFMF,Netherlands,28,1998,1.4,1,1,Knockout,0.7142857142857143,Yes,a26fb8aa
502,Odilon Kossounou,DF,Côte d'Ivoire,25,2001,3.0,3,3,Knockout,1.0,Yes,1f3afdcb
503,Kalidou Koulibaly,DF,Senegal,34,1991,1.8,1,2,Knockout,1.1111111111111112,Yes,da974c7b
504,Jules Koundé,DF,France,27,1998,6.7,8,3,Knockout,0.44776119402985076,Yes,4d1666ff
508,Ladislav Krej?í,DF,Czechia,27,1999,3.0,3,1,Group Stage Eliminated,0.3333333333333333,Yes,5b5c2228
512,Maxence Lacroix,DF,France,26,2000,2.7,2,3,Knockout,1.111111111111111,Yes,277c49ed
513,Gustaf Lagerbielke,DF,Sweden,26,2000,4.0,5,5,Knockout,1.25,Yes,9e39fa2d
514,Konrad Laimer,MFDF,Austria,29,1997,4.0,6,2,Knockout,0.5,Yes,c1b7847c
515,Ali Lajami,DF,Saudi Arabia,30,1996,1.7,2,3,Group Stage Eliminated,1.7647058823529411,Yes,46f7ab4f
519,Aymeric Laporte,DF,Spain,32,1994,8.1,3,14,Knockout,1.7283950617283952,Yes,119b9a8e
521,Richie Laryea,DF,Canada,31,1995,4.8,9,2,Knockout,0.4166666666666667,Yes,276fdbe4
523,Issa Laye,MFDF,Qatar,28,1997,3.0,1,1,Group Stage Eliminated,0.3333333333333333,Yes,c078667a
528,Philipp Lienhart,DF,Austria,29,1996,2.0,1,1,Knockout,0.5,Yes,302527b2
529,Victor Lindelöf,DFMF,Sweden,31,1994,4.0,1,4,Knockout,1.0,Yes,f5deef4c
533,Marcos Llorente,DF,Spain,31,1995,2.1,6,1,Knockout,0.47619047619047616,Yes,02c15616
537,Sidny Lopes Cabral,DF,Cabo Verde,23,2002,3.2,2,4,Knockout,1.25,Yes,20700569
539,Derrick Luckassen,DF,Ghana,30,1995,2.0,1,0,Knockout,0.0,Yes,30a09cb5
540,Jhon Lucumí,DF,Colombia,27,1998,5.3,2,5,Knockout,0.9433962264150944,Yes,80490d7f
547,Deiver Machado,DF,Colombia,32,1993,1.0,0,2,Knockout,2.0,Yes,b3f8bdef
552,Gabriel Magalhães,DF,Brazil,28,1997,5.0,2,4,Knockout,0.8,Yes,67ac5bb8
563,Aïssa Mandi,DF,Algeria,34,1991,4.0,3,4,Knockout,1.0,Yes,fbd6378b
565,Juan Manuel Sanabria,DF,Uruguay,26,2000,2.3,4,1,Group Stage Eliminated,0.4347826086956522,Yes,f1d74479
570,Marquinhos,DF,Brazil,32,1994,5.0,2,3,Knockout,0.6,Yes,d5f2f82b
576,Lisandro Martínez,DF,Argentina,28,1998,6.9,7,6,Knockout,0.8695652173913043,Yes,bac46a10
579,Arthur Masuaku,DF,Congo DR,32,1993,3.5,5,0,Knockout,0.0,Yes,57df7a11
586,Noussair Mazraoui,DF,Morocco,28,1997,5.3,8,2,Knockout,0.37735849056603776,Yes,b74277a0
590,Chancel Mbemba,DF,Congo DR,31,1994,4.0,3,1,Knockout,0.25,Yes,e76cb9cc
591,Mbekezeli Mbokazi,DF,South Africa,20,2005,4.0,5,4,Knockout,1.0,Yes,13398d42
595,Scott McKenna,DF,Scotland,29,1996,1.0,0,0,Group Stage Eliminated,0.0,Yes,4e5a4cbc
597,Mark McKenzie,DF,USA,27,1999,1.0,1,1,Knockout,1.0,Yes,a5f5d094
600,Brandon Mechele,DF,Belgium,33,1993,6.3,4,4,Knockout,0.6349206349206349,Yes,0a6dbbf7
601,Facundo Medina,DF,Argentina,27,1999,3.4,7,2,Knockout,0.5882352941176471,Yes,6f5ec8bb
608,Nuno Mendes,DF,Portugal,23,2002,4.4,6,0,Knockout,0.0,Yes,f20e4cc9
611,Gideon Mensah,DF,Ghana,27,1998,4.0,5,8,Knockout,2.0,Yes,9bdd8118
615,Thomas Meunier,DF,Belgium,34,1991,2.1,2,2,Knockout,0.9523809523809523,Yes,e162b013
617,Kim Min-jae,DF,Korea Republic,29,1996,2.7,2,2,Group Stage Eliminated,0.7407407407407407,Yes,e0f8151c
620,Aubrey Modiba,DF,South Africa,30,1995,3.8,5,4,Knockout,1.0526315789473684,Yes,bb1f97f2
624,Milad Mohammadi,DF,IR Iran,32,1993,2.3,4,2,Group Stage Eliminated,0.8695652173913044,Yes,740a0e28
626,Johan Mojica,DF,Colombia,33,1992,4.3,3,3,Knockout,0.6976744186046512,Yes,608f2092
628,Nahuel Molina,DF,Argentina,28,1998,5.9,3,8,Knockout,1.3559322033898304,Yes,23610943
630,César Montes,DF,Mexico,29,1997,3.5,1,2,Knockout,0.5714285714285714,Yes,28e957d7
631,Gonzalo Montiel,DF,Argentina,29,1997,2.1,3,3,Knockout,1.4285714285714286,Yes,374d5158
635,Steven Moreira,DF,Cabo Verde,31,1994,3.3,3,2,Knockout,0.6060606060606061,Yes,f10983ae
642,Khuliso Mudau,DF,South Africa,31,1995,4.0,8,11,Knockout,2.75,Yes,75388f92
643,Tarik Muharemovic,DF,Bosnia-Herz,23,2003,2.9,1,8,Knockout,2.7586206896551726,Yes,426dda23
644,Miro Muheim,DFMF,Switzerland,28,1998,1.0,1,2,Knockout,2.0,Yes,844c6a91
646,Mert Müldür,DF,Türkiye,27,1999,1.1,2,1,Group Stage Eliminated,0.9090909090909091,Yes,1295552e
647,Daniel Muñoz,DF,Colombia,30,1996,4.4,3,7,Knockout,1.5909090909090908,Yes,778ef829
651,Phillipp Mwene,DF,Austria,32,1994,1.6,0,3,Knockout,1.875,Yes,2ff76adc
652,David Møller Wolfe,DF,Norway,24,2002,4.8,3,3,Knockout,0.625,Yes,9affc5f2
655,Abdallah Nasib,DF,Jordan,32,1994,2.9,3,7,Group Stage Eliminated,2.413793103448276,Yes,aaab3072
656,Sherzod Nasrullaev,DFMF,Uzbekistan,27,1998,2.0,2,2,Group Stage Eliminated,1.0,Yes,aeb0c7f7
661,Ali Nemati,DF,IR Iran,30,1996,3.0,2,0,Group Stage Eliminated,0.0,Yes,19a221f7
668,Nathan Ngoy,DF,Belgium,23,2003,3.7,4,7,Knockout,1.8918918918918919,Yes,eb7abf2e
669,Moussa Niakhaté,DF,Senegal,30,1996,4.3,1,4,Knockout,0.9302325581395349,Yes,00242715
681,Nico O'Reilly,DF,England,21,2005,5.1,3,5,Knockout,0.9803921568627452,Yes,91ca4a16
683,Armando Obispo,DF,Curaçao,27,1999,3.0,1,7,Group Stage Eliminated,2.3333333333333335,Yes,2ffa6348
688,Ime Okon,DF,South Africa,22,2004,4.0,2,5,Knockout,1.25,Yes,3cb58055
692,Mathías Olivera,DF,Uruguay,28,1997,3.0,4,2,Group Stage Eliminated,0.6666666666666666,Yes,41c12f75
697,Christopher Opéri,DF,Côte d'Ivoire,29,1997,1.0,2,1,Knockout,1.0,Yes,914bb955
698,Jerome Opoku,DF,Ghana,27,1998,3.0,2,1,Knockout,0.3333333333333333,Yes,091d6ee5
699,Joel Ordóñez,DF,Ecuador,22,2004,2.5,5,1,Knockout,0.4,Yes,2990a15c
701,Nicolás Otamendi,DF,Argentina,38,1988,2.7,2,6,Knockout,2.222222222222222,Yes,0d267745
703,Ayoub Al-Oui,DF,Qatar,21,2005,1.7,0,2,Group Stage Eliminated,1.1764705882352942,Yes,010e5bae
709,Willian Pacho,DF,Ecuador,24,2001,4.0,2,8,Knockout,2.0,Yes,ecbe2839
711,Exequiel Palacios,DF,Argentina,27,1998,1.0,0,5,Knockout,5.0,Yes,e82adcab
717,Nathan Patterson,DF,Scotland,24,2001,2.1,2,3,Group Stage Eliminated,1.4285714285714286,Yes,230f0471
718,João Paulo Fernandes,DF,Cabo Verde,28,1998,1.2,1,6,Knockout,5.0,Yes,afcac9da
720,Tim Payne,DF,New Zealand,32,1994,2.5,3,1,Group Stage Eliminated,0.4,Yes,4e86877c
722,Marcus Pedersen,DF,Norway,25,2000,2.6,2,0,Knockout,0.0,Yes,596cc50e
727,Ivan Periši?,MFDF,Croatia,37,1989,4.0,4,4,Knockout,1.0,Yes,6fe90922
731,Pico,DF,Cabo Verde,33,1992,4.3,5,7,Knockout,1.627906976744186,Yes,faef0f92
734,Wagner Pina,DF,Cabo Verde,23,2002,1.0,0,1,Knockout,1.0,Yes,9bf22b95
740,Marin Pongra?i?,DF,Croatia,28,1997,3.0,3,0,Knockout,0.0,Yes,2a6cd437
742,Pedro Porro,DF,Spain,26,1999,6.3,11,8,Knockout,1.2698412698412698,Yes,27d0a506
743,Stefan Posch,DF,Austria,29,1997,3.7,4,10,Knockout,2.7027027027027026,Yes,7f609bfc
745,Ángelo Preciado,DFMF,Ecuador,28,1998,1.2,1,3,Knockout,2.5,Yes,eadc8e4f
752,Jarell Quansah,DF,England,23,2003,2.2,0,0,Knockout,0.0,Yes,4125cb98
756,Ramy Rabia,DF,Egypt,33,1993,4.1,5,3,Knockout,0.7317073170731708,Yes,e32afa36
758,Stjepan Radelji?,DF,Bosnia-Herz,28,1997,2.0,1,0,Knockout,0.0,Yes,30e03a25
763,Jiovany Ramos,DF,Panama,29,1997,1.8,1,3,Group Stage Eliminated,1.6666666666666665,Yes,30cda59f
770,David Raum,DF,Germany,28,1998,1.2,1,1,Knockout,0.8333333333333334,Yes,7d450ed3
774,Tim Ream,DF,USA,38,1987,4.0,1,6,Knockout,1.5,Yes,28b40c9c
776,Omar Rekik,DF,Tunisia,24,2001,2.0,2,3,Group Stage Eliminated,1.5,Yes,e69e0f7b
777,Israel Reyes,DF,Mexico,26,2000,2.2,1,3,Knockout,1.3636363636363635,Yes,0db8bbc4
779,Ramin Rezaeian,DFMF,IR Iran,36,1990,3.0,5,2,Group Stage Eliminated,0.6666666666666666,Yes,c0ae3446
780,Chadi Riad,DF,Morocco,22,2003,3.8,1,4,Knockout,1.0526315789473684,Yes,b3b9b8b8
782,Chris Richards,DF,USA,26,2000,4.0,3,4,Knockout,1.0,Yes,0a3d6d2b
785,Ró-Ró,DF,Qatar,35,1990,3.0,4,3,Group Stage Eliminated,1.0,Yes,8735fe66
786,Andy Robertson,DF,Scotland,32,1994,2.5,1,2,Group Stage Eliminated,0.8,Yes,2e4f5f03
787,Antonee Robinson,DFMF,USA,28,1997,3.9,4,6,Knockout,1.5384615384615385,Yes,289601e6
788,Miles Robinson,DF,USA,29,1997,1.0,1,1,Knockout,1.0,Yes,782a95d9
795,Ricardo Rodríguez,DF,Switzerland,33,1992,5.7,7,4,Knockout,0.7017543859649122,Yes,7f78ad23
799,Cristian Romero,DF,Argentina,28,1998,6.8,10,11,Knockout,1.6176470588235294,Yes,a3d94a58
805,Antonio Rüdiger,DF,Germany,33,1993,2.9,0,0,Knockout,0.0,Yes,18b896d6
808,Julian Ryerson,DF,Norway,28,1997,2.5,8,0,Knockout,0.0,Yes,009a4f60
820,Anass Salah-Eddine,DF,Morocco,24,2002,2.4,5,0,Knockout,0.0,Yes,0d274394
822,William Saliba,DF,France,25,2001,5.3,0,6,Knockout,1.1320754716981132,Yes,972aeb2a
825,Davinson Sánchez,DF,Colombia,30,1996,5.3,2,6,Knockout,1.1320754716981132,Yes,da7b447d
826,Jorge Sánchez,DF,Mexico,28,1997,3.9,4,5,Knockout,1.2820512820512822,Yes,c8d1c3a5
832,Douglas Santos,DF,Brazil,32,1994,4.9,10,6,Knockout,1.2244897959183672,Yes,c50e5bba
837,Joe Scally,DF,USA,23,2002,1.0,1,1,Knockout,1.0,Yes,236f02cd
